cell,cell_id
Bikara,0
Birira,1
Bisoke,2
Bukinanyana,3
Bumara,4
Buramira,5
Buruba,6
Cyabagarura,7
Cyabararika,8
Cyanya,9
Cyivugiza,10
Cyogo,11
Gakingo,12
Gakoro,13
Garuka,14
Gasakuza,15
Gashinga,16
Gasongero,17
Gisesero,18
Kabazungu,19
Kabeza,20
Kabirizi,21
Kabushinge,22
Kaguhu,23
Kamisave,24
Kampanga,25
Kamwumba,26
Karwasa,27
Kavumu,28
Kibuguzo,29
Kigabiro,30
Kigombe,31
Kivumu,32
Mbizi,33
Mburabuturo,34
Mbwe,35
Migeshi,36
Mpenge,37
Mubago,38
Mudakama,39
Mudende,40
Mugari,41
Muhabura,42
Muharuro,43
Murago,44
Murandi,45
Murwa,46
Musezero,47
Ninda,48
Nturo,49
Nyabigoma,50
Nyagisozi,51
Nyarubuye,52
Nyonirima,53
Rubindi,54
Rugeshi,55
Ruhengeri,56
Rungu,57
Rurambo,58
Ruyumba,59
Rwambogo,60
Rwebeya,61
Sahara,62
Songa,63
